Age,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,Gender_Male,EducationBackground_Life Sciences,EducationBackground_Marketing,EducationBackground_Medical,EducationBackground_Other,EducationBackground_Technical Degree,MaritalStatus_Married,MaritalStatus_Single,EmpDepartment_Development,EmpDepartment_Finance,EmpDepartment_Human Resources,EmpDepartment_Research & Development,EmpDepartment_Sales,EmpJobRole_Data Scientist,EmpJobRole_Delivery Manager,EmpJobRole_Developer,EmpJobRole_Finance Manager,EmpJobRole_Healthcare Representative,EmpJobRole_Human Resources,EmpJobRole_Laboratory Technician,EmpJobRole_Manager,EmpJobRole_Manager R&D,EmpJobRole_Manufacturing Director,EmpJobRole_Research Director,EmpJobRole_Research Scientist,EmpJobRole_Sales Executive,EmpJobRole_Sales Representative,EmpJobRole_Senior Developer,EmpJobRole_Senior Manager R&D,EmpJobRole_Technical Architect,EmpJobRole_Technical Lead,BusinessTravelFrequency_Travel_Frequently,BusinessTravelFrequency_Travel_Rarely,OverTime_Yes,Attrition_Yes
44.0,24.0,3,1,49.0,1,1,3,2.0,14.0,3,9.0,5.0,3,5.0,2.0,1.0,4.0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.0,3.0,3,4,49.0,3,4,3,9.0,12.0,4,28.0,2.0,2,22.0,2.0,11.0,13.0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
30.0,27.0,5,3,99.0,3,2,4,7.0,23.0,4,10.0,2.0,2,8.0,7.0,7.0,7.0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
29.0,10.0,3,3,99.0,3,1,3,1.0,11.0,3,1.0,6.0,3,1.0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
42.0,19.0,3,3,57.0,4,1,3,6.0,12.0,4,7.0,2.0,3,2.0,2.0,2.0,2.0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
34.0,8.0,2,2,96.0,3,2,3,3.0,11.0,4,10.0,2.0,3,5.0,1.0,4.0,3.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.0,3.0,3,3,44.0,4,2,2,9.0,15.0,3,12.0,3.0,1,8.0,3.0,3.0,6.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56.0,9.0,3,3,81.0,3,4,4,7.0,11.0,3,30.0,1.0,2,10.0,7.0,1.0,1.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40.0,2.0,1,4,86.0,2,1,4,0.0,20.0,4,5.0,2.0,2,4.0,2.0,2.0,3.0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
27.0,7.0,3,4,55.0,2,2,1,8.0,19.0,1,9.0,2.0,1,7.0,6.0,0.0,7.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29.0,10.0,3,4,83.0,3,1,2,1.0,14.0,4,2.0,2.0,3,2.0,2.0,2.0,2.0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
53.0,6.0,3,4,86.0,3,2,4,2.0,17.0,4,19.0,4.0,3,2.0,2.0,2.0,2.0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,2.0,4,4,61.0,3,2,1,2.0,11.0,1,16.0,2.0,4,1.0,0.0,0.0,0.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32.0,24.0,4,1,80.0,3,2,4,1.0,15.0,4,10.0,2.0,3,10.0,8.0,4.0,7.0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.0,8.0,5,2,32.0,3,2,1,3.0,14.0,3,7.0,3.0,3,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52.0,3.0,4,3,31.0,2,4,1,1.0,11.0,1,34.0,3.0,4,34.0,6.0,1.0,16.0,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,1.0,4,4,63.0,3,1,4,1.0,13.0,3,10.0,2.0,2,10.0,9.0,7.0,8.0,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
25.0,26.0,1,3,32.0,3,2,4,1.0,23.0,2,6.0,5.0,2,6.0,5.0,1.0,4.0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45.0,2.0,2,2,46.0,1,2,3,0.0,13.0,1,9.0,3.0,3,8.0,7.0,3.0,1.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23.0,10.0,1,1,79.0,4,1,3,1.0,18.0,4,2.0,3.0,3,2.0,2.0,0.0,2.0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47.0,27.0,2,2,77.0,4,2,3,4.0,12.0,4,8.0,2.0,3,5.0,4.0,1.0,3.0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
34.0,2.0,3,4,60.0,3,2,4,1.0,22.0,3,6.0,5.0,3,6.0,5.0,1.0,4.0,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36.0,8.0,4,1,76.0,2,3,1,1.0,15.0,2,10.0,1.0,3,10.0,7.0,0.0,9.0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52.0,19.0,4,4,41.0,3,1,4,0.0,18.0,1,5.0,3.0,3,4.0,3.0,1.0,2.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,1.0,2,1,71.0,1,1,4,3.0,14.0,1,5.0,2.0,3,2.0,2.0,2.0,0.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,27.0,3,2,66.0,3,2,3,4.0,12.0,1,11.0,3.0,2,8.0,7.0,1.0,1.0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26.0,8.0,3,4,38.0,2,2,1,6.0,17.0,3,6.0,2.0,2,4.0,3.0,1.0,2.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
34.0,1.0,4,2,72.0,4,1,4,2.0,16.0,3,10.0,2.0,3,4.0,2.0,1.0,3.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54.0,19.0,4,4,95.0,3,2,1,9.0,11.0,2,9.0,4.0,3,5.0,3.0,1.0,4.0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
27.0,8.0,1,3,84.0,3,2,4,0.0,19.0,2,5.0,3.0,3,4.0,2.0,1.0,1.0,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
37.0,10.0,1,4,82.0,3,1,1,0.0,13.0,2,6.0,3.0,2,5.0,3.0,4.0,3.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
38.0,2.0,4,1,75.0,4,2,1,6.0,12.0,4,17.0,2.0,3,15.0,7.0,4.0,12.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34.0,2.0,4,3,86.0,2,1,1,1.0,11.0,3,6.0,3.0,3,6.0,5.0,1.0,3.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,8.0,4,1,72.0,3,1,4,1.0,16.0,2,3.0,1.0,2,3.0,2.0,0.0,2.0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
40.0,2.0,2,3,38.0,4,2,2,1.0,24.0,4,8.0,2.0,3,8.0,7.0,3.0,7.0,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.0,8.0,2,3,93.0,3,2,1,5.0,17.0,2,6.0,1.0,3,3.0,2.0,1.0,2.0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24.0,9.0,3,3,60.0,2,1,2,1.0,11.0,3,1.0,4.0,3,1.0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52.0,11.0,4,4,82.0,3,2,3,8.0,20.0,2,9.0,3.0,3,5.0,2.0,1.0,4.0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50.0,2.0,3,3,64.0,3,4,3,5.0,16.0,4,30.0,3.0,3,4.0,3.0,0.0,3.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29.0,1.0,2,2,36.0,2,1,1,1.0,11.0,4,1.0,1.0,3,1.0,0.0,0.0,0.0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
33.0,7.0,3,3,49.0,3,3,3,0.0,11.0,4,14.0,3.0,4,13.0,9.0,3.0,7.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,16.0,3,1,69.0,3,2,1,5.0,15.0,3,6.0,3.0,3,3.0,2.0,0.0,2.0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
47.0,2.0,2,3,33.0,3,4,4,1.0,11.0,3,26.0,3.0,2,26.0,14.0,3.0,0.0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
36.0,1.0,3,3,35.0,3,2,2,0.0,15.0,1,10.0,2.0,3,9.0,7.0,0.0,5.0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29.0,23.0,2,3,81.0,4,1,3,1.0,24.0,3,10.0,3.0,3,10.0,7.0,0.0,7.0,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35.0,1.0,4,4,40.0,4,1,3,3.0,13.0,3,7.0,0.0,3,2.0,2.0,2.0,2.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
42.0,1.0,2,4,43.0,2,2,4,9.0,13.0,4,8.0,4.0,3,4.0,3.0,0.0,2.0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
28.0,2.0,4,3,46.0,3,1,3,6.0,17.0,4,5.0,3.0,2,2.0,2.0,2.0,1.0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
36.0,13.0,3,3,36.0,3,1,2,4.0,13.0,2,8.0,2.0,3,5.0,2.0,0.0,4.0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40.0,16.0,4,1,51.0,2,2,3,6.0,14.0,4,10.0,6.0,3,1.0,0.0,0.0,0.0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30.0,2.0,3,3,52.0,2,2,4,5.0,24.0,2,12.0,4.0,2,0.0,0.0,0.0,0.0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
45.0,2.0,3,2,95.0,2,1,3,1.0,14.0,4,1.0,3.0,3,1.0,0.0,0.0,0.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42.0,29.0,3,2,98.0,3,2,2,1.0,13.0,4,10.0,3.0,2,9.0,8.0,7.0,8.0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38.0,12.0,3,1,45.0,2,2,1,2.0,15.0,3,13.0,3.0,2,4.0,3.0,1.0,2.0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49.0,11.0,3,3,43.0,3,3,4,1.0,18.0,1,9.0,3.0,4,9.0,8.0,7.0,7.0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
55.0,2.0,1,3,37.0,3,2,4,4.0,16.0,3,12.0,3.0,2,9.0,7.0,7.0,3.0,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
43.0,14.0,2,2,94.0,3,4,1,6.0,24.0,3,22.0,3.0,3,4.0,1.0,1.0,0.0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27.0,5.0,1,3,42.0,2,3,4,1.0,16.0,2,9.0,3.0,3,9.0,8.0,0.0,8.0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
35.0,7.0,3,3,59.0,3,3,3,3.0,21.0,2,17.0,3.0,4,8.0,5.0,1.0,6.0,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28.0,2.0,4,2,81.0,3,2,2,1.0,20.0,1,8.0,2.0,3,8.0,7.0,7.0,5.0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
26.0,5.0,2,3,88.0,2,1,3,1.0,14.0,1,8.0,2.0,3,8.0,7.0,1.0,7.0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
27.0,3.0,3,4,50.0,3,1,4,1.0,11.0,3,0.0,6.0,2,0.0,0.0,0.0,0.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.0,26.0,4,1,66.0,3,4,3,2.0,14.0,3,29.0,2.0,2,20.0,6.0,4.0,17.0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44.0,4.0,3,4,50.0,3,2,2,9.0,12.0,4,10.0,2.0,2,5.0,2.0,2.0,3.0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25.0,2.0,1,1,65.0,4,1,1,7.0,13.0,3,6.0,3.0,2,4.0,3.0,0.0,1.0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,27.0,1,3,53.0,2,1,1,1.0,11.0,4,6.0,3.0,2,6.0,5.0,1.0,1.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
36.0,1.0,2,2,56.0,3,2,4,1.0,14.0,4,18.0,1.0,2,18.0,14.0,4.0,11.0,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
53.0,7.0,2,1,78.0,2,3,4,7.0,18.0,4,35.0,3.0,3,5.0,2.0,0.0,4.0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
45.0,9.0,3,4,74.0,3,3,1,4.0,12.0,3,18.0,2.0,3,5.0,4.0,0.0,2.0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
32.0,8.0,2,3,91.0,4,2,3,5.0,12.0,3,9.0,3.0,2,5.0,3.0,1.0,3.0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37.0,16.0,4,4,66.0,2,2,3,4.0,19.0,4,9.0,2.0,3,1.0,0.0,0.0,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
28.0,8.0,2,2,63.0,2,1,4,1.0,13.0,4,6.0,6.0,3,5.0,1.0,0.0,4.0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.0,1.0,2,4,33.0,2,2,4,6.0,22.0,1,4.0,2.0,1,2.0,2.0,2.0,2.0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
44.0,8.0,4,1,62.0,4,1,4,2.0,24.0,3,10.0,2.0,2,3.0,2.0,0.0,2.0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
42.0,2.0,1,2,35.0,3,1,4,5.0,14.0,4,8.0,2.0,3,2.0,1.0,2.0,2.0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
36.0,8.0,3,1,77.0,2,1,1,0.0,21.0,3,6.0,3.0,3,5.0,4.0,0.0,3.0,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25.0,3.0,1,3,98.0,3,2,1,1.0,18.0,4,5.0,3.0,3,5.0,3.0,0.0,3.0,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
35.0,25.0,4,4,96.0,3,1,2,1.0,19.0,1,10.0,3.0,2,10.0,2.0,7.0,8.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
32.0,1.0,3,4,61.0,3,1,4,0.0,12.0,2,4.0,2.0,3,3.0,0.0,0.0,2.0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.0,1.0,3,3,36.0,3,1,1,2.0,16.0,2,7.0,2.0,3,4.0,2.0,0.0,2.0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24.0,4.0,1,1,46.0,2,1,4,0.0,17.0,4,6.0,2.0,2,5.0,2.0,3.0,4.0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32.0,5.0,2,2,48.0,3,2,2,1.0,14.0,4,10.0,3.0,3,10.0,8.0,5.0,3.0,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
38.0,9.0,3,2,98.0,2,1,2,0.0,19.0,4,3.0,3.0,3,2.0,2.0,1.0,2.0,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
31.0,11.0,4,4,48.0,3,1,4,3.0,19.0,2,8.0,2.0,3,6.0,4.0,0.0,2.0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
53.0,8.0,3,1,73.0,3,4,4,5.0,14.0,3,28.0,3.0,3,2.0,0.0,2.0,2.0,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
37.0,21.0,2,3,54.0,3,1,4,5.0,15.0,2,10.0,3.0,3,5.0,4.0,0.0,0.0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
