EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001042,27.0,Female,Medical,Single,Development,Developer,Travel_Rarely,7.0,3,4,55.0,2,2,1,8.0,No,19.0,1,9.0,2.0,1,7.0,6.0,0.0,7.0,No,3
E1001044,29.0,Male,Marketing,Divorced,Sales,Sales Representative,Travel_Rarely,10.0,3,4,83.0,3,1,2,1.0,No,14.0,4,2.0,2.0,3,2.0,2.0,2.0,2.0,No,3
E1001047,53.0,Male,Life Sciences,Single,Development,Developer,Travel_Rarely,6.0,3,4,86.0,3,2,4,2.0,No,17.0,4,19.0,4.0,3,2.0,2.0,2.0,2.0,No,3
E1001049,35.0,Female,Life Sciences,Divorced,Development,Senior Developer,Non-Travel,2.0,4,4,61.0,3,2,1,2.0,No,11.0,1,16.0,2.0,4,1.0,0.0,0.0,0.0,No,3
E1001050,32.0,Male,Life Sciences,Married,Development,Developer,Travel_Frequently,24.0,4,1,80.0,3,2,4,1.0,No,15.0,4,10.0,2.0,3,10.0,8.0,4.0,7.0,No,3
E1001053,34.0,Female,Life Sciences,Divorced,Development,Developer,Travel_Rarely,8.0,5,2,32.0,3,2,1,3.0,No,14.0,3,7.0,3.0,3,0.0,0.0,0.0,0.0,No,3
E1001054,52.0,Male,Marketing,Married,Sales,Manager,Travel_Rarely,3.0,4,3,31.0,2,4,1,1.0,No,11.0,1,34.0,3.0,4,34.0,6.0,1.0,16.0,No,4
E1001058,33.0,Male,Other,Single,Development,Developer,Travel_Rarely,1.0,4,4,63.0,3,1,4,1.0,Yes,13.0,3,10.0,2.0,2,10.0,9.0,7.0,8.0,Yes,3
E1001059,25.0,Female,Medical,Single,Sales,Sales Executive,Travel_Rarely,26.0,1,3,32.0,3,2,4,1.0,No,23.0,2,6.0,5.0,2,6.0,5.0,1.0,4.0,No,4
E1001061,45.0,Male,Technical Degree,Single,Sales,Sales Representative,Travel_Rarely,2.0,2,2,46.0,1,2,3,0.0,No,13.0,1,9.0,3.0,3,8.0,7.0,3.0,1.0,No,3
E1001062,23.0,Male,Medical,Single,Development,Developer,Travel_Rarely,10.0,1,1,79.0,4,1,3,1.0,No,18.0,4,2.0,3.0,3,2.0,2.0,0.0,2.0,No,3
E1001063,47.0,Female,Life Sciences,Single,Sales,Sales Executive,Travel_Frequently,27.0,2,2,77.0,4,2,3,4.0,Yes,12.0,4,8.0,2.0,3,5.0,4.0,1.0,3.0,Yes,3
E1001064,34.0,Male,Other,Single,Sales,Sales Executive,Travel_Rarely,2.0,3,4,60.0,3,2,4,1.0,No,22.0,3,6.0,5.0,3,6.0,5.0,1.0,4.0,No,4
E1001067,36.0,Male,Life Sciences,Single,Sales,Sales Executive,Non-Travel,8.0,4,1,76.0,2,3,1,1.0,No,15.0,2,10.0,1.0,3,10.0,7.0,0.0,9.0,No,3
E1001069,52.0,Male,Medical,Married,Development,Developer,Non-Travel,19.0,4,4,41.0,3,1,4,0.0,No,18.0,1,5.0,3.0,3,4.0,3.0,1.0,2.0,No,3
E1001070,26.0,Female,Life Sciences,Divorced,Development,Developer,Travel_Frequently,1.0,2,1,71.0,1,1,4,3.0,No,14.0,1,5.0,2.0,3,2.0,2.0,2.0,0.0,No,3
E1001071,29.0,Female,Medical,Married,Development,Developer,Travel_Rarely,27.0,3,2,66.0,3,2,3,4.0,No,12.0,1,11.0,3.0,2,8.0,7.0,1.0,1.0,No,3
E1001074,26.0,Male,Technical Degree,Single,Sales,Sales Executive,Travel_Rarely,8.0,3,4,38.0,2,2,1,6.0,No,17.0,3,6.0,2.0,2,4.0,3.0,1.0,2.0,Yes,3
E1001075,34.0,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1.0,4,2,72.0,4,1,4,2.0,No,16.0,3,10.0,2.0,3,4.0,2.0,1.0,3.0,No,3
E1001077,54.0,Female,Medical,Divorced,Development,Developer,Travel_Rarely,19.0,4,4,95.0,3,2,1,9.0,Yes,11.0,2,9.0,4.0,3,5.0,3.0,1.0,4.0,No,3
E1001078,27.0,Male,Marketing,Married,Sales,Sales Executive,Travel_Frequently,8.0,1,3,84.0,3,2,4,0.0,No,19.0,2,5.0,3.0,3,4.0,2.0,1.0,1.0,No,3
E1001080,37.0,Female,Life Sciences,Divorced,Development,Developer,Travel_Rarely,10.0,1,4,82.0,3,1,1,0.0,Yes,13.0,2,6.0,3.0,2,5.0,3.0,4.0,3.0,No,3
E1001081,38.0,Female,Life Sciences,Single,Development,Developer,Travel_Frequently,2.0,4,1,75.0,4,2,1,6.0,Yes,12.0,4,17.0,2.0,3,15.0,7.0,4.0,12.0,No,3
E1001082,34.0,Female,Medical,Single,Development,Developer,Travel_Rarely,2.0,4,3,86.0,2,1,1,1.0,No,11.0,3,6.0,3.0,3,6.0,5.0,1.0,3.0,No,3
E1001083,35.0,Female,Life Sciences,Married,Sales,Sales Representative,Travel_Rarely,8.0,4,1,72.0,3,1,4,1.0,No,16.0,2,3.0,1.0,2,3.0,2.0,0.0,2.0,No,3
E1001085,40.0,Female,Medical,Married,Development,Developer,Travel_Frequently,2.0,2,3,38.0,4,2,2,1.0,No,24.0,4,8.0,2.0,3,8.0,7.0,3.0,7.0,No,4
E1001086,34.0,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,8.0,2,3,93.0,3,2,1,5.0,No,17.0,2,6.0,1.0,3,3.0,2.0,1.0,2.0,No,3
E1001090,24.0,Male,Life Sciences,Divorced,Development,Senior Developer,Non-Travel,9.0,3,3,60.0,2,1,2,1.0,No,11.0,3,1.0,4.0,3,1.0,0.0,0.0,0.0,No,3
E1001091,52.0,Female,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,11.0,4,4,82.0,3,2,3,8.0,No,20.0,2,9.0,3.0,3,5.0,2.0,1.0,4.0,No,4
E1001093,50.0,Male,Medical,Married,Development,Developer,Travel_Rarely,2.0,3,3,64.0,3,4,3,5.0,No,16.0,4,30.0,3.0,3,4.0,3.0,0.0,3.0,No,3
E1001094,29.0,Female,Life Sciences,Married,Development,Developer,Travel_Rarely,1.0,2,2,36.0,2,1,1,1.0,Yes,11.0,4,1.0,1.0,3,1.0,0.0,0.0,0.0,Yes,3
E1001095,33.0,Male,Medical,Married,Development,Developer,Travel_Rarely,7.0,3,3,49.0,3,3,3,0.0,No,11.0,4,14.0,3.0,4,13.0,9.0,3.0,7.0,No,3
E1001097,33.0,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,16.0,3,1,69.0,3,2,1,5.0,No,15.0,3,6.0,3.0,3,3.0,2.0,0.0,2.0,Yes,3
E1001098,47.0,Female,Other,Married,Development,Developer,Travel_Rarely,2.0,2,3,33.0,3,4,4,1.0,Yes,11.0,3,26.0,3.0,2,26.0,14.0,3.0,0.0,No,3
E1001101,36.0,Female,Other,Married,Development,Developer,Travel_Rarely,1.0,3,3,35.0,3,2,2,0.0,No,15.0,1,10.0,2.0,3,9.0,7.0,0.0,5.0,No,3
E1001102,29.0,Male,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,23.0,2,3,81.0,4,1,3,1.0,No,24.0,3,10.0,3.0,3,10.0,7.0,0.0,7.0,No,4
E1001104,35.0,Female,Life Sciences,Single,Development,Senior Developer,Travel_Rarely,1.0,4,4,40.0,4,1,3,3.0,No,13.0,3,7.0,0.0,3,2.0,2.0,2.0,2.0,No,3
E1001105,42.0,Female,Life Sciences,Married,Development,Developer,Travel_Rarely,1.0,2,4,43.0,2,2,4,9.0,Yes,13.0,4,8.0,4.0,3,4.0,3.0,0.0,2.0,No,3
E1001106,28.0,Male,Medical,Single,Development,Developer,Travel_Rarely,2.0,4,3,46.0,3,1,3,6.0,No,17.0,4,5.0,3.0,2,2.0,2.0,2.0,1.0,Yes,3
E1001107,36.0,Male,Human Resources,Married,Human Resources,Human Resources,Travel_Rarely,13.0,3,3,36.0,3,1,2,4.0,No,13.0,2,8.0,2.0,3,5.0,2.0,0.0,4.0,No,3
E1001110,40.0,Male,Medical,Single,Development,Developer,Travel_Frequently,16.0,4,1,51.0,2,2,3,6.0,No,14.0,4,10.0,6.0,3,1.0,0.0,0.0,0.0,No,3
E1001111,30.0,Female,Medical,Single,Development,Developer,Travel_Rarely,2.0,3,3,52.0,2,2,4,5.0,Yes,24.0,2,12.0,4.0,2,0.0,0.0,0.0,0.0,No,4
E1001112,45.0,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,2.0,3,2,95.0,2,1,3,1.0,No,14.0,4,1.0,3.0,3,1.0,0.0,0.0,0.0,No,3
E1001114,42.0,Male,Life Sciences,Married,Development,Developer,Travel_Rarely,29.0,3,2,98.0,3,2,2,1.0,No,13.0,4,10.0,3.0,2,9.0,8.0,7.0,8.0,No,3
E1001115,38.0,Male,Life Sciences,Divorced,Development,Developer,Travel_Frequently,12.0,3,1,45.0,2,2,1,2.0,No,15.0,3,13.0,3.0,2,4.0,3.0,1.0,2.0,No,3
E1001118,49.0,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,11.0,3,3,43.0,3,3,4,1.0,No,18.0,1,9.0,3.0,4,9.0,8.0,7.0,7.0,Yes,3
E1001120,55.0,Male,Medical,Single,Sales,Sales Executive,Travel_Rarely,2.0,1,3,37.0,3,2,4,4.0,No,16.0,3,12.0,3.0,2,9.0,7.0,7.0,3.0,Yes,3
E1001121,43.0,Male,Life Sciences,Married,Development,Developer,Travel_Rarely,14.0,2,2,94.0,3,4,1,6.0,No,24.0,3,22.0,3.0,3,4.0,1.0,1.0,0.0,No,3
E1001122,27.0,Male,Technical Degree,Divorced,Development,Developer,Travel_Rarely,5.0,1,3,42.0,2,3,4,1.0,Yes,16.0,2,9.0,3.0,3,9.0,8.0,0.0,8.0,No,3
E1001123,35.0,Male,Other,Single,Development,Developer,Travel_Rarely,7.0,3,3,59.0,3,3,3,3.0,No,21.0,2,17.0,3.0,4,8.0,5.0,1.0,6.0,No,4
E1001124,28.0,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,2.0,4,2,81.0,3,2,2,1.0,Yes,20.0,1,8.0,2.0,3,8.0,7.0,7.0,5.0,No,3
E1001126,26.0,Female,Medical,Married,Development,Developer,Travel_Frequently,5.0,2,3,88.0,2,1,3,1.0,Yes,14.0,1,8.0,2.0,3,8.0,7.0,1.0,7.0,Yes,3
E1001128,27.0,Male,Medical,Married,Development,Developer,Non-Travel,3.0,3,4,50.0,3,1,4,1.0,No,11.0,3,0.0,6.0,2,0.0,0.0,0.0,0.0,No,3
E1001129,51.0,Female,Marketing,Married,Sales,Manager,Travel_Rarely,26.0,4,1,66.0,3,4,3,2.0,No,14.0,3,29.0,2.0,2,20.0,6.0,4.0,17.0,No,3
E1001130,44.0,Male,Medical,Single,Development,Developer,Travel_Rarely,4.0,3,4,50.0,3,2,2,9.0,No,12.0,4,10.0,2.0,2,5.0,2.0,2.0,3.0,No,3
E1001132,25.0,Male,Medical,Single,Development,Developer,Travel_Rarely,2.0,1,1,65.0,4,1,1,7.0,No,13.0,3,6.0,3.0,2,4.0,3.0,0.0,1.0,No,3
E1001134,35.0,Female,Medical,Single,Development,Senior Developer,Travel_Rarely,27.0,1,3,53.0,2,1,1,1.0,No,11.0,4,6.0,3.0,2,6.0,5.0,1.0,1.0,No,3
E1001135,36.0,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,1.0,2,2,56.0,3,2,4,1.0,Yes,14.0,4,18.0,1.0,2,18.0,14.0,4.0,11.0,No,3
E1001140,53.0,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,7.0,2,1,78.0,2,3,4,7.0,Yes,18.0,4,35.0,3.0,3,5.0,2.0,0.0,4.0,No,3
E1001142,45.0,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,9.0,3,4,74.0,3,3,1,4.0,Yes,12.0,3,18.0,2.0,3,5.0,4.0,0.0,2.0,No,3
E1001143,32.0,Female,Medical,Married,Development,Developer,Travel_Rarely,8.0,2,3,91.0,4,2,3,5.0,No,12.0,3,9.0,3.0,2,5.0,3.0,1.0,3.0,No,3
E1001146,37.0,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,16.0,4,4,66.0,2,2,3,4.0,No,19.0,4,9.0,2.0,3,1.0,0.0,0.0,0.0,No,3
E1001147,28.0,Male,Medical,Divorced,Human Resources,Human Resources,Travel_Rarely,8.0,2,2,63.0,2,1,4,1.0,No,13.0,4,6.0,6.0,3,5.0,1.0,0.0,4.0,No,3
E1001150,22.0,Male,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,1.0,2,4,33.0,2,2,4,6.0,No,22.0,1,4.0,2.0,1,2.0,2.0,2.0,2.0,No,3
E1001152,44.0,Male,Life Sciences,Married,Development,Developer,Travel_Rarely,8.0,4,1,62.0,4,1,4,2.0,Yes,24.0,3,10.0,2.0,2,3.0,2.0,0.0,2.0,No,3
E1001153,42.0,Male,Medical,Single,Development,Senior Developer,Travel_Frequently,2.0,1,2,35.0,3,1,4,5.0,Yes,14.0,4,8.0,2.0,3,2.0,1.0,2.0,2.0,No,3
E1001156,36.0,Male,Life Sciences,Married,Human Resources,Human Resources,Travel_Rarely,8.0,3,1,77.0,2,1,1,0.0,No,21.0,3,6.0,3.0,3,5.0,4.0,0.0,3.0,No,3
E1001157,25.0,Male,Other,Married,Sales,Sales Executive,Travel_Rarely,3.0,1,3,98.0,3,2,1,1.0,Yes,18.0,4,5.0,3.0,3,5.0,3.0,0.0,3.0,No,3
E1001159,35.0,Female,Life Sciences,Divorced,Development,Developer,Travel_Frequently,25.0,4,4,96.0,3,1,2,1.0,Yes,19.0,1,10.0,3.0,2,10.0,2.0,7.0,8.0,Yes,3
E1001160,32.0,Male,Life Sciences,Divorced,Development,Developer,Non-Travel,1.0,3,4,61.0,3,1,4,0.0,No,12.0,2,4.0,2.0,3,3.0,0.0,0.0,2.0,No,3
E1001165,49.0,Female,Technical Degree,Married,Data Science,Data Scientist,Travel_Rarely,1.0,3,3,36.0,3,1,1,2.0,No,16.0,2,7.0,2.0,3,4.0,2.0,0.0,2.0,No,3
E1001166,24.0,Male,Life Sciences,Married,Development,Senior Developer,Non-Travel,4.0,1,1,46.0,2,1,4,0.0,No,17.0,4,6.0,2.0,2,5.0,2.0,3.0,4.0,No,3
E1001167,32.0,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,5.0,2,2,48.0,3,2,2,1.0,No,14.0,4,10.0,3.0,3,10.0,8.0,5.0,3.0,No,3
E1001171,38.0,Male,Marketing,Married,Sales,Sales Representative,Travel_Rarely,9.0,3,2,98.0,2,1,2,0.0,No,19.0,4,3.0,3.0,3,2.0,2.0,1.0,2.0,No,3
E1001173,31.0,Male,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,11.0,4,4,48.0,3,1,4,3.0,Yes,19.0,2,8.0,2.0,3,6.0,4.0,0.0,2.0,No,3
E1001175,53.0,Male,Marketing,Married,Sales,Sales Executive,Travel_Rarely,8.0,3,1,73.0,3,4,4,5.0,No,14.0,3,28.0,3.0,3,2.0,0.0,2.0,2.0,No,3
E1001178,37.0,Female,Medical,Married,Sales,Sales Representative,Travel_Frequently,21.0,2,3,54.0,3,1,4,5.0,No,15.0,2,10.0,3.0,3,5.0,4.0,0.0,0.0,No,3
E1001179,53.0,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,23.0,4,4,72.0,3,4,4,6.0,No,18.0,3,33.0,0.0,3,12.0,9.0,3.0,8.0,No,3
E1001180,43.0,Female,Life Sciences,Married,Development,Developer,Travel_Frequently,1.0,3,4,33.0,3,2,4,4.0,No,13.0,2,12.0,2.0,2,5.0,2.0,2.0,2.0,No,3
E1001181,47.0,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,2.0,2,3,35.0,3,2,4,0.0,Yes,22.0,1,8.0,2.0,3,7.0,6.0,7.0,7.0,No,4
E1001182,37.0,Male,Medical,Single,Sales,Sales Executive,Non-Travel,19.0,2,1,32.0,3,3,2,1.0,Yes,13.0,4,10.0,2.0,3,10.0,0.0,0.0,9.0,No,3
E1001183,50.0,Male,Life Sciences,Divorced,Development,Developer,Non-Travel,2.0,4,1,98.0,3,4,1,1.0,No,11.0,4,31.0,3.0,3,31.0,6.0,14.0,7.0,No,3
E1001187,39.0,Female,Life Sciences,Married,Human Resources,Human Resources,Travel_Rarely,2.0,3,4,42.0,2,2,4,8.0,No,11.0,3,13.0,2.0,3,5.0,4.0,0.0,4.0,No,3
E1001188,33.0,Male,Human Resources,Divorced,Human Resources,Human Resources,Travel_Rarely,3.0,2,4,57.0,3,1,2,3.0,Yes,11.0,3,7.0,4.0,4,4.0,3.0,0.0,3.0,No,3
E1001189,32.0,Male,Life Sciences,Single,Development,Developer,Travel_Rarely,25.0,4,1,87.0,3,1,4,1.0,Yes,24.0,3,1.0,2.0,1,1.0,0.0,0.0,1.0,Yes,3
E1001191,44.0,Male,Life Sciences,Married,Development,Developer,Travel_Rarely,9.0,2,2,61.0,3,1,1,1.0,Yes,13.0,4,8.0,0.0,3,8.0,7.0,7.0,1.0,No,3
E1001196,58.0,Male,Life Sciences,Divorced,Development,Developer,Travel_Frequently,2.0,1,4,57.0,2,1,4,9.0,Yes,14.0,4,3.0,3.0,2,1.0,0.0,0.0,0.0,Yes,3
E1001200,20.0,Female,Medical,Single,Sales,Sales Representative,Travel_Rarely,2.0,3,3,49.0,2,1,3,1.0,No,13.0,4,2.0,3.0,2,2.0,2.0,0.0,2.0,Yes,3
E1001201,21.0,Female,Other,Single,Data Science,Data Scientist,Travel_Rarely,18.0,1,4,65.0,3,1,4,1.0,No,19.0,1,1.0,3.0,2,1.0,0.0,0.0,0.0,Yes,3
E1001202,36.0,Male,Life Sciences,Married,Data Science,Data Scientist,Travel_Rarely,14.0,1,3,68.0,3,2,4,0.0,Yes,17.0,1,17.0,2.0,2,16.0,8.0,4.0,11.0,No,3
E1001203,47.0,Female,Life Sciences,Single,Sales,Sales Representative,Travel_Rarely,2.0,4,4,65.0,2,1,4,1.0,Yes,18.0,1,3.0,3.0,2,3.0,2.0,1.0,2.0,No,3
E1001204,22.0,Female,Life Sciences,Married,Development,Developer,Travel_Rarely,3.0,1,2,34.0,3,2,3,0.0,Yes,19.0,1,4.0,3.0,4,3.0,2.0,0.0,2.0,Yes,3
E1001208,28.0,Female,Medical,Divorced,Development,Developer,Travel_Rarely,9.0,3,3,77.0,3,1,3,5.0,No,18.0,2,6.0,2.0,3,2.0,2.0,2.0,2.0,No,3
E1001210,39.0,Male,Medical,Married,Development,Senior Developer,Travel_Rarely,6.0,3,4,70.0,3,1,1,7.0,Yes,21.0,4,8.0,2.0,1,2.0,2.0,2.0,2.0,Yes,3
E1001211,27.0,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,4.0,3,2,76.0,3,1,3,1.0,No,19.0,3,1.0,2.0,3,1.0,1.0,0.0,0.0,No,3
E1001212,34.0,Male,Life Sciences,Divorced,Development,Developer,Travel_Rarely,10.0,3,2,83.0,3,1,2,1.0,No,14.0,2,1.0,3.0,3,1.0,0.0,1.0,0.0,No,3
E1001214,42.0,Female,Medical,Single,Sales,Sales Executive,Travel_Rarely,14.0,2,3,68.0,2,2,3,7.0,No,17.0,1,10.0,6.0,3,5.0,4.0,0.0,3.0,No,3
E1001217,33.0,Male,Other,Single,Development,Senior Developer,Travel_Rarely,1.0,4,3,100.0,2,1,1,3.0,Yes,11.0,2,6.0,1.0,3,3.0,2.0,0.0,2.0,No,3
E1001218,58.0,Female,Technical Degree,Divorced,Development,Senior Developer,Travel_Rarely,5.0,3,3,37.0,2,3,2,2.0,Yes,13.0,4,24.0,3.0,3,6.0,0.0,0.0,4.0,No,3
E1001219,31.0,Male,Life Sciences,Married,Sales,Sales Representative,Travel_Rarely,7.0,4,2,41.0,2,1,3,3.0,No,15.0,2,13.0,2.0,4,7.0,7.0,5.0,2.0,No,3
E1001220,35.0,Female,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,21.0,1,4,51.0,3,2,4,1.0,Yes,25.0,4,10.0,2.0,1,10.0,6.0,0.0,7.0,No,3
E1001223,48.0,Male,Medical,Married,Data Science,Data Scientist,Travel_Rarely,20.0,4,4,51.0,3,1,3,4.0,No,17.0,1,13.0,2.0,2,0.0,0.0,0.0,0.0,No,3
E1001225,31.0,Female,Marketing,Married,Sales,Sales Executive,Non-Travel,20.0,2,4,45.0,3,2,3,1.0,No,13.0,4,9.0,2.0,2,9.0,8.0,0.0,0.0,No,3
E1001227,36.0,Male,Other,Single,Development,Developer,Travel_Rarely,7.0,4,2,65.0,3,1,4,2.0,No,18.0,3,8.0,6.0,3,6.0,2.0,0.0,1.0,No,3
E1001228,38.0,Female,Technical Degree,Married,Development,Senior Developer,Travel_Rarely,1.0,3,4,80.0,3,3,1,1.0,No,13.0,2,15.0,3.0,3,15.0,12.0,5.0,11.0,No,3
E1001229,32.0,Female,Life Sciences,Married,Development,Senior Developer,Non-Travel,1.0,3,3,70.0,2,1,2,6.0,No,20.0,3,5.0,3.0,3,3.0,0.0,0.0,2.0,No,4
E1001230,25.0,Male,Marketing,Married,Sales,Sales Representative,Travel_Rarely,19.0,2,3,36.0,2,1,2,1.0,Yes,18.0,3,1.0,2.0,3,1.0,0.0,0.0,0.0,Yes,3
E1001235,41.0,Male,Medical,Single,Development,Developer,Travel_Rarely,6.0,3,4,59.0,3,1,1,2.0,Yes,13.0,3,20.0,3.0,3,18.0,13.0,2.0,17.0,No,3
E1001236,36.0,Male,Medical,Single,Development,Developer,Travel_Rarely,2.0,4,3,79.0,3,1,3,4.0,No,21.0,3,16.0,6.0,3,11.0,8.0,3.0,9.0,No,4
E1001237,19.0,Male,Other,Single,Sales,Sales Representative,Travel_Rarely,21.0,3,4,37.0,2,1,2,1.0,Yes,13.0,2,1.0,3.0,4,1.0,0.0,0.0,0.0,Yes,3
E1001238,20.0,Male,Technical Degree,Single,Development,Developer,Travel_Rarely,4.0,3,1,84.0,3,1,1,1.0,No,19.0,2,1.0,2.0,3,1.0,0.0,0.0,0.0,Yes,3
E1001239,31.0,Female,Medical,Married,Development,Developer,Travel_Rarely,12.0,3,4,41.0,3,2,4,0.0,Yes,11.0,3,10.0,2.0,1,9.0,7.0,8.0,5.0,No,3
E1001245,36.0,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,3.0,1,3,51.0,2,3,4,1.0,Yes,11.0,1,16.0,6.0,3,16.0,7.0,3.0,7.0,Yes,3
E1001248,37.0,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,1.0,4,1,46.0,2,3,3,5.0,No,11.0,3,17.0,2.0,1,14.0,1.0,11.0,7.0,Yes,2
E1001250,45.0,Male,Life Sciences,Married,Development,Developer,Non-Travel,4.0,2,3,57.0,3,2,2,1.0,No,12.0,2,9.0,5.0,2,9.0,7.0,0.0,8.0,No,3
